RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Martin,NC,,37,117,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,98000,89900,89900,89000,85000,86450,88450,81499.5,84900,85000,85000,84950,82500,79900,79900,79900,84300,79900,79900,82000,81950,86450,79900,74900,80915,79900,84450,84450,83750,88200,87900,89925,93750,92250,95000,95000,89900,79000,86750,79000,86500,82000,79850,78000,84500,79900,79900,81950,89900,95000,99000,99000,84900,84000
Waushara,WI,,55,137,1566,129500,139000,136000,149900,149900,142900,144900,149900,149900,150000,156750,149900,144900,151990,154000,149900,149900,141450,139900,139900,139900,136450,138950,134450,131450,132900,131450,129900,129900,134700,135000,134250,134900,129900,134500,129000,129900,134900,139900,134900,144940,144990,145000,144950,146900,147000,145000,139900,139900,139900,139900,145000,149900,149900,154000,151500,155000,158200,158200,150000,149700,147250,149900,151850,150000,154990,154980,149950,154990,155700,155250,154750,159000,159900,160000,177450,169900,167500,164900,159450,155900,154500,146200,149980,146500,149900,156900,145900,159450,158950
Lamoille,VT,,50,15,1567,369000,352500,369000,349000,349000,325000,349900,330000,315000,309750,325000,299900,299945,289000,289000,297750,289000,287250,284500,289000,289000,275000,270000,260000,268000,260000,265000,269000,269000,275000,265000,272000,274450,272000,272450,274950,265000,269900,279000,280000,272900,269000,272000,270975,270975,269000,271400,275000,274900,270000,269000,259900,269900,275000,279000,279000,279900,279950,289900,284900,288250,272900,264950,272500,269000,269000,259900,259000,259900,259600,265000,275000,270500,270000,271500,262500,265000,275000,269000,275000,272000,259900,275000,269000,269000,259000,250000,264000,269000,274700
Roscommon,MI,,26,143,1568,99900,99900,99900,99900,99900,99900,104950,99900,99900,95000,94200,89900,89000,89000,87000,84900,85900,88200,89500,89000,88450,89500,87450,87450,85000,85000,85000,89000,89900,89900,87750,85000,85000,81400,81500,84900,79900,79950,80000,89000,89900,92250,92900,89900,89399,89500,89000,89500,89000,88250,88500,89300,94900,94900,94900,95000,97000,95000,90000,92250,92000,95000,98500,98900,114900,109900,109900,99900,99900,99900,99500,99000,96900,96500,99000,99900,99900,114900,115000,114900,114400,109000,99900,99250,95000,97900,99900,105000,110000,110250
Dawson,NE,Lexington,31,47,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,117000,116750,110000,110000,125450,132900,117950,132900,127000,129000,129750,135000,134500,134250,134500,145000,139750,128950,128950,129900,128000,128000,122500,121250,125000,129900,119900
Fredericksburg City,VA,Washington,51,630,1570,299450,305990,299698,289000,284999,284400,279495,279990,274900,270450,269990,269990,265000,275000,275000,274000,274990,275000,275000,279000,294000,294995,299900,289900,299000,289990,289900,299900,289900,299900,313495,311990,324975,329000,344990,349900,348900,349900,350000,352400,359900,349950,354870,339990,353945,359400,359945,360990,364945,359900,372450,369900,375000,365450,346750,364900,369900,366500,369900,364500,369900,348500,351750,349900,349900,339900,339900,339900,339700,339000,329900,329900,334900,339900,359900,355000,359250,359500,348950,344450,343815,349950,349900,355900,349900,349900,345000,344900,349200,359000
Fayette,IN,Connersville,18,41,1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,74900,73200,69900,70400,69900,59900,64950,63450,64900,68750,69900,69900
Bremer,IA,Waterloo,19,17,1572,,,,,,,,,,,,,,,,145000,150000,147450,159000,159450,159900,156000,157950,153950,149450,151400,165000,169250,155900,156700,159500,169500,164900,168000,168000,162000,164750,155250,153500,148500,148500,153450,158500,149900,146500,140450,141000,149900,149950,149950,141750,133000,147500,142500,139500,139000,139000,129900,129900,129900,133500,137000,140000,152200,149750,159500,159900,164950,170450,171500,169950,173250,189000,172000,179900,159900,169900,174400,174900,171000,174900,175000,174500,174900,174000,169900,170000,189450,168500,169900
Upshur,WV,,54,97,1573,132500,132500,134450,132000,135900,138750,133500,139250,133500,125900,125900,131950,139500,137500,139500,137500,139700,136250,138250,136250,140000,133000,138000,130950,139900,135950,131900,132950,131900,129450,129450,125000,125000,125000,129000,125000,135000,135000,134999.5,134999,134999.5,135000,130925,131975,139000,139000,139000,135000,139000,139000,146950,149000,150950,145000,142000,138950,138950,143700,143700,139750,139450,145000,149950,149900,145500,149000,149000,145250,147000,159450,151450,146950,149999,150000,150000,150000,149950,150000,160000,170950,159000,159000,154950,154950,150000,150000,152500,159500,159900,159950
Stark,ND,Dickinson,38,89,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292000,289450,279900,281600,279900,279900,275000,260000,250000,249900,269900,269900,265000,264900,265000,250000,254500,245000,235950,234900,234500,225000,229900,237450,239900,249900,249450,247750
