RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,6,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,465000,449900,455000,460000,480000,497000,499000,499900,499000,499900,499000,490000,469000,475000,499000,509000,529000,550000,557000,559000,559000,558888,559000,550000,550000,550000,565000,575000,585000,589000,599000,599000,595000,595000,599000,599000,595000,595000,598000,599999,619900,629500,625000
Cook,IL,Chicago,17,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,194900,209900,223500,229900,230000,230000,229000,225000,219900,210000,199000,189900,204900,224500,227900,232900,234906.5,230000,229900,225900,225000,220000,215000,215000,225000,239900,249500,249999,250000,249000,242500,244900,239900,235000,229000,229900,247000,259000,265000,269000,269900
Harris,TX,Houston,48,201,3,136900,140000,144778.5,145000,144900,144500,140000,142900,153000,151990,154000,149990,149900,149900,149900,149900,150000,152900,150000,149900,142900,143900,139900,140000,140000,140000,144900,146900,147900,149000,148729,149000,147000,147000,159000,160000,160000,169900,174000,177500,179865.5,179990,179990,180492.5,184900,189900,185990,187990,189500,197990,199990,210000,214997.5,214900,215000,219880,220486,223348.5,229000,235155,246290,254990,260990,269900,259900,250000,267990,269900,270501,274900,273990,279500,280502,269900,275000,275000,275000,275000,273990,270690,269000,265000,263990,259990,259900,264900,269900,274180,274990,274455
Maricopa,AZ,Phoenix,4,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,235000,239000,244900,248900,249900,250000,249000,249000,249900,250000,249000,244900,250945,259900,265000,274000,275000,275000,269000,275000,275000,278000,279900,279900,280000,284000,285000,288000,289000,289500,285000,282500,284000,282499,282000,284900,284900,289500,290000,296500,299000,295000
San Diego,CA,San Diego,6,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,452000,458888,465000,475000,489000,459000,482540,499000,495000,489000,485000,485000,475000,479500,490000,524000,534000,549000,525000,555000,550000,559000,559900,564000,575000,569000,569000,569000,575000,579000,579000,585000,579000,577500,575000,570000,574993.5,579000,589000,595000,615000,625000,624900
Orange,CA,Los Angeles-Long Beach-Anaheim,6,59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599900,599000,599500,609000,625000,628000,635000,635000,635000,646235,639000,630000,619000,629000,645900,659000,669000,685000,695000,688750,685000,689000,689000,684139.5,689000,685000,689900,699000,699900,7.00E+05,710612,710000,709900,709000,715900,715000,716405,723990,729900,749000,755000,759900,749999
Kings,NY,New York,36,47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,429000,436000,449000,449450,459000,450000,439000,449000,449000,449990,485000,479000,498000,485000,499000,499000,499000,499000,525000,525000,512500,549000,559000,550000,589999,588000,6.00E+05,619000,649000,669160,670000,650000,675000,679000,662300,675000,699000,725000,699000,749000,721000,735000,729000,748888,755000,760000,765000,769000,769000,780000,790000,788000,779000,780000
Miami-Dade,FL,Miami-Fort Lauderdale,12,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,269000,269900,265000,270000,270000,270000,269900,274900,280000,282000,298000,299999,297746.5,309000,315000,310000,290000,295000,317990,320000,329000,330000,350000,359000,359950,364000,352995,369500,371600,370000,374945,370000,375510,375000,377000,379000,379000,379999.5,379990,380000,385000,389000
Dallas,TX,Dallas-Fort Worth,48,113,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,175000,177500,187000,195000,2.00E+05,194500,194900,209900,199000,197000,189900,198999.5,199500,219900,228950,232500,235000,235000,225000,226500,235000,239000,239900,239000,235000,239500,259800.5,269000,275000,275900,273500,269950,274900,279000,275000,275000,276500,289676,295000,310000,318900,314990
Queens,NY,New York,36,81,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299999,299000,309000,299000,299800,310000,310000,319000,325000,329000,329999,339000,339000,335000,330000,349000,349475,349000,350000,359000,359000,365000,359000,360000,368000,369000,379999,388880,379900,389000,399000,399444,405000,410000,429000,420000,429000,439999,449000,450000,458000,460000,472000,475000,475000,475000,475000,470000,475000,479999,485000,489000,499000,510000,519000
Riverside,CA,Riverside,6,65,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319900,323945,322500,325000,325000,329900,334000,334900,329900,330000,329500,329000,325000,325000,329900,338000,339500,339990,345475,349000,345500,344999.5,347914.5,349900,349999,350000,350000,355000,359000,359900,364500,365000,365950,363322.5,360000,364800,365000,369000,369900,372599,375000,375900,379000,379900
San Bernardino,CA,Riverside,6,71,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,229900,229800,230000,239950,245000,249900,255000,256500,259000,255000,253000,250000,249000,259000,257990,260000,264900,269891.5,275000,276500,276000,279000,279900,279900,279900,279900,280000,285000,287700,290000,297122,299900,299000,298000,295000,295000,295000,290000,298000,299900,3.00E+05,309900,305000
Clark,NV,Las Vegas,32,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,179900,175000,178000,180000,185000,189000,190000,190000,199900,2.00E+05,2.00E+05,199900,199900,199900,209000,210000,215000,220000,220000,223999.5,224900,225000,225000,226778,227000,225000,224000,229000,230000,235900,239900,240000,244900,248000,249000,249900,249900,250000,258000,259990,265000,269900,274900
King,WA,Seattle,53,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386375,379000,369999,375000,387500,399000,399950,419950,423940,419000,415000,4.00E+05,385000,350000,370000,399000,418000,434950,440987.5,449950,449000,449900,449970,449950,449950,449000,445000,449950,467675,484900,499000,499950,499000,489950,499000,499950,499500,489990,494995,504995,539000,549950,575000,585000
Wayne,MI,Detroit,26,163,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,68500,70000,74000,69900,69900,59900,52900,57400,64900,67500,69900,72000,75000,77250,75000,74900,72500,69900,65000,64900,63000,65788,69999,79850,84900,88000,89500,85000,85000,82000,79000,75000,79000,85000,92950,105900,114900
Tarrant,TX,Dallas-Fort Worth,48,439,16,139900,140143,143500,145000,145000,145000,144500,144999,155000,149900,142500,138900,135950,134990,138500,139900,140000,146000,144900,139950,137931,139800,135990,134900,134900,136585,137500,138700,139000,140990,139900,135990,135000,139900,161550,162990,164900,168900,169990,174900,179000,179900,179500,178538,178000,176700,174900,175900,174900,179500,182000,188990,190000,186467,189000,191550,190257,190990,189900,196900,199000,2.00E+05,214580,215000,210000,209900,208500,207500,208000,209000,209900,209994,212000,210000,219000,224997,227500,230000,230000,230000,230000,235000,234990,230900,234900,239900,248000,249900,253990,255000
Santa Clara,CA,San Jose,6,85,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,679000,675000,699950,729000,741000,749880,749000,749000,730000,739000,729000,699925,695944,715000,774000,799000,829000,849000,850000,849888,840000,846500,849000,837699.5,829000,839000,870000,899950,908944,914995,899999,899250,898880,899000,898000,875000,850000,849000,888000,925000,934995,959940,949000
Broward,FL,Miami-Fort Lauderdale,12,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,219900,215000,214900,215000,209900,209900,218900,214900,210000,214000,214900,209900,208000,210000,220000,230000,225000,224900,229500,245000,249000,251850,250000,249900,249500,249000,245000,245000,260000,265000,269900,275000,275000,279900,279900,279900,277606.5,274900,277900,279900,285000,291500,295000
Bexar,TX,San Antonio,48,29,19,142500,145000,147020,149500,149900,151995,149975,149900,157195,155900,149900,149000,149500,149900,149500,149900,155900,159500,157000,150000,143997.5,143992.5,140990,139900,141900,140000,144000,144995,145000,149900,149500,149900,149000,151500,167900,168500,169900,175000,179900,182000,184970,189000,188500,189500,192000,196990,194000,199000,199000,206250,209997.5,212945,220000,214500,212000,219900,215000,210000,214500,220000,224000,228164.5,225000,236180.5,235900,240990,246990,247500,249900,244000,244990,247990,249000,235000,240000,242000,239900,240995,243900,240000,235200,242266,240000,235000,239500,244900,250000,256900,258000,260000
New York,NY,New York,36,61,20,,,,,,,,,,,,,,,,,,,,,,,,,,,890000,898000,915000,925000,899000,890000,899999,915000,990000,995000,995000,975000,1045000,1025000,1025000,1055000,999000,1050000,1037500,1095000,1150000,1150000,1200000,1195000,1189000,1182500,1249500,1275000,1300000,1300000,1350000,1414000,1475000,1500000,1500000,1550000,1550000,1595000,1599000,1595000,1595000,1622500,1700000,1715000,1750000,1825000,1995000,1915000,1750000,1850000,1750000,1725000,1700000,1730000,1715000,1738745,1749900,1750000,1750000,1775000,1750000,1750000,1732500,1725000
Philadelphia,PA,Philadelphia,42,101,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,141500,139900,139900,149900,159900,159900,159900,153000,149900,149900,149500,144900,134900,138500,144900,150000,159900,162000,159900,155000,150000,149900,149999,149900,144000,139900,139900,149700,155000,159900,159900,156000,150000,151948.5,158250,150000,149900,149999,150834.5,165000,175000,182700,180000
Alameda,CA,San Francisco,6,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,509888,518888,529000,544900,569000,589000,596500,589000,579000,569000,575000,535000,525000,530000,589000,609000,619000,649000,650000,650000,648000,649000,649000,649000,645000,638000,649000,685000,699900,699950,699000,699650,699000,699000,699000,695000,685000,699000,710517,740003,749000,769000,754990
Middlesex,MA,Boston,25,17,23,299763.5,329900,340000,349000,349000,349900,345000,339900,349900,349900,349000,334900,333500,339000,339900,347950,350000,349900,345000,339900,340000,339750,325000,309900,319000,329000,339900,359000,359900,355000,349000,339900,339945,345000,375000,369900,369900,379900,389900,399900,409000,419900,418900,399000,409000,414900,399900,399000,395000,415000,420000,439000,449000,439900,429900,429000,439000,439900,439900,434947.5,439000,443995,459900,475000,479000,479000,469900,450000,460000,468900,461250,459900,469900,489000,499800,510000,510000,510000,499900,499000,499900,510000,519000,519000,519900,535000,550000,559000,559989.5,560000
Suffolk,NY,New York,36,103,24,379000,379000,379000,379500,394990,389000,379000,369990,369990,350000,349000,339000,329000,324500,329900,330000,339000,339000,345000,340000,343500,340000,339990,339000,349000,349000,349000,349000,349000,339000,339000,329990,329000,335000,385000,379999,379500,385000,390000,389999.5,399000,399000,399000,399900,409000,409000,414900,415000,425000,389000,419000,419999,425000,429000,429900,429999,439000,449000,425000,449000,429996,433000,429000,425000,429900,437995,434900,434250,435000,432687.5,429999,429990,436250,430000,439000,439000,444949.5,449000,449900,449000,459000,459000,460000,459999,459000,475000,474999,479000,479999,499000
Sacramento,CA,Sacramento,6,67,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297000,299000,299950,309900,309954,309900,307990,305000,312000,312000,310000,315000,315000,319900,325000,329950,329900,329999,329900,325211,325000,325000,320000,319900,324900,335000,345000,345000,343950
Bronx,NY,New York,36,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359260.5,329000,359000,375000,369499.5,359000,307500,310000,329999.5,340000,349000,328000,329000,349000,329000,349450,350000,329000,349999,379000,379000,375000,359000,339499.5,320000,329000,325000,325000,329000,319000,340000,349000,349000,365000,375000,359000,349250,365000,369000,350000,325000,319700,320000,325000
Nassau,NY,New York,36,59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,389000,379500,369990,360000,423888,419000,419000,429000,429000,440000,449000,449000,449000,445000,448800,439832.5,449000,444900,439990,449000,449000,459000,469900,475000,475000,469000,469000,469000,459000,469000,474999,475000,478000,479000,489000,499000,499900,499000,499000,499000,499000,499000,498888,499000,5.00E+05,525000,529000,539000,545000,539000,539000,545000,549000,539994.5,529990,529000,539999,549999,575000,579000
Palm Beach,FL,Miami-Fort Lauderdale,12,99,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264900,267133.5,269000,274900,274000,275000,275000,279900,277000,276000,275000,274900,275000,275000,275000,279900,289000,279000,275000,279900,285000,287000,289900,290000,298517.5,297250,299000,299900,3.00E+05,310000,314500,315000,315000,314999.5,319000,324900,320000,319900,320000,325000,329000,335000,339000,339000
Cuyahoga,OH,Cleveland,39,35,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E+05,99900,99900,104000,109900,114400,117000,119500,117000,115000,110000,109900,107500,99900,104500,109900,112500,116400,118000,119000,117000,114900,114000,110000,110000,108590,105000,109999,118000,120000,124900,125000,125000,123800,122000,119900,118500,114900,114900,117500,124900,129500,135000,137500
Hillsborough,FL,Tampa,12,57,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,187990,185900,190900,194900,198017.5,193900,179000,199990,199997,2.00E+05,2.00E+05,199990,194900,2.00E+05,210000,210990,209900,210500,214900,215000,227900,229900,231900,235000,231990,234295,229900,234900,239000,230990,231440,230000,227500,225000,229190,229000,225860,233990,239900,240000,247900,250000,250000
Allegheny,PA,Pittsburgh,42,3,31,102000,115000,119900,122500,124900,124900,124000,120236.5,125000,124500,123000,119900,119899,120000,122500,123900,124900,124949.5,125000,119900,124900,124900,124900,120000,119000,119000,119900,119900,125000,124900,117700,115000,114900,114900,132900,130000,133900,139000,139900,145000,149000,149000,149000,144900,144900,139900,136950,137900,139900,139900,144900,150000,155450,157900,152900,149900,149000,150000,145000,139990,145980,149900,150000,159000,160000,165000,160000,157400,155000,153900,150000,149900,149000,144900,149900,159900,162500,164900,160000,159900,159900,157000,154000,150000,149900,154900,160000,169999,179000,179500
Oakland,MI,Detroit,26,125,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00E+05,199900,199900,199900,209000,214900,225000,239000,240000,239000,238900,234900,230000,220990,214900,227900,238000,239900,245000,249000,249900,245000,244900,245000,244900,245000,245000,240000,246950,250000,264500,269900,274900,274888,269900,269900,270595,275000,278000,274900,279900,285000,299000,299900,299990
Franklin,OH,Columbus,39,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123900,127900,130950,133900,134900,133900,131900,132500,129900,129900,127000,128900,135000,139900,145900,149997,149900,147850,145000,144900,139900,135900,139500,143000,149450,153000,164900,165000,165200,164900,164900,160000,161200,155000,157000,159900,164500,174900,178500,179900,179900,174990,175990,174900,174000,169450,164900,169900,184900,195000,199900,199900
Hennepin,MN,Minneapolis-St Paul,27,53,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239950,234900,229900,239900,249900,259900,269900,265000,268944,269900,269900,262054,259900,260000,269000,279500,284900,284900,289900,289900,295000,289900,289250,289900,289900,290000,299900,299900,299900,299900,299249.5,294900,289900,289900,299900,299900,304900,314900,321880,339900,334900,334638,335000,333408
Orange,FL,Orlando,12,95,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222745,220000,220000,229000,229000,224900,215000,208950,225000,229900,229900,229900,225000,220000,224900,229994.5,230000,225900,229990,235000,237898,251619,254900,253990,255690,254992.5,259900,254000,263924,269951,257400,255000,259900,257195,264000,259900,255000,259000,275000,279900,287777,294900,299000,299900
Fairfax,VA,Washington,51,59,36,350000,374900,399900,420500,424900,425000,425000,419000,415000,409000,399900,390000,379688.5,389900,399000,399970,419900,419900,409900,399900,398700,387960,375000,359999,367860.5,385000,410707,439900,459888,459000,446200,434900,430850,439000,499444,499000,499999,5.00E+05,524900,529950,543950,538852.5,525000,512000,5.00E+05,495000,495000,485000,499000,499000,514888,525000,535000,535000,525000,525000,524700,519000,514990,509250,504990,514999.5,525000,539900,539000,532000,499000,524962.5,524900,519000,511000,510000,524694,529999,549888,560000,564900,550000,546000,540000,539999,549900,550000,550000,550000,574900,589900,587500,589900,589000
Contra Costa,CA,San Francisco,6,13,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,449000,434450,449970,479000,499000,509450,509000,509990,499000,495000,490000,459000,439000,450000,478000,510000,529900,569000,565000,549719,537950,525000,525000,515000,499999,508500,539000,569000,588000,589000,595000,575000,555000,559950,564400,550000,543000,540000,562855,597900,599950,620000,599970
Salt Lake,UT,Salt Lake City,49,35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259900,259900,264900,260995,255799.5,255000,259900,269000,274900,275000,275000,274900,275000,275000,269000,269000,277900,280000,288900,299900,3.00E+05,309900,314900,316450,314997.5,314900,309999,308000,310000,309900,319900,323840,334900,339750,339000,335000,325000,325000,326499.5,329900,325457.5,335000,340000,350000,350000,352950
Travis,TX,Austin,48,453,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264000,265000,275000,279633,289900,299900,299000,299000,295000,295000,305000,310000,310000,319500,326093,339000,349900,350000,359990,349900,349000,349900,349500,342990,350000,349900,354995,364880,374900,375000,379990,369000,374900,369900,375000,369775,379000,378990,380000,380724,385000,385000,395000,394990,385192.5,389900,389900,389900,379945,376594.5,385000,394000,399990,399999,399000
Saint Louis,MO,St. Louis,29,189,40,,,,,,,,,,,,,,,,,,,,,,124900,123349.5,119000,125000,119900,123900,129850,134900,135000,130000,129500,129600,129750,144900,139900,136000,144900,150000,158650,159900,164700,155000,150000,149900,149000,139900,139000,134900,139900,145000,152500,160000,160000,159900,157500,154900,150000,144900,139000,138250,146500,155000,160000,164900,169900,169900,160950,160000,160000,158950,150000,149000,149900,164900,187700,189900,186900,184900,179900,175000,172000,169900,161500,157500,164900,179900,197950,205950,215000
Pima,AZ,Tucson,4,19,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,189900,189000,189500,189950,193900,195327.5,195968.5,195000,195000,197000,197500,192900,192000,192000,199000,199900,197500,199900,199450,194000,195000,195990,195900,195000,192400,194900,194900,197500,199000,199900,199900,199990,199900,199900,204300,207500,207400,209900,214900,216000,219000,220000,219000
Montgomery,MD,Washington,24,31,42,325000,334900,349000,359925,357000,350000,339999.5,329000,329900,339970,347777,329900,324995,325000,335000,349900,362900,369000,370000,365000,369000,374650,360000,349900,350000,365000,380000,390000,414900,409875,399900,399000,389900,397990,419900,399900,399435,409900,424500,439900,449000,449900,439700,429900,439000,429250,419000,418000,4.00E+05,415000,430000,449000,459000,450000,449000,432745,435000,430000,424900,414750,4.00E+05,410000,424900,425000,435000,439900,419900,429000,430000,429900,425900,425000,424000,420000,439900,469500,469900,474990,459900,459900,461500,465000,474900,465000,465000,479000,499000,515000,515000,509000
Honolulu,HI,Urban Honolulu,15,3,43,469000,465900,450000,450000,460000,465000,469000,5.00E+05,479000,450000,415000,399000,399900,369000,385000,369000,380000,389832.5,420000,448000,440000,449000,429000,433900,434000,430000,439900,447234,439000,419000,415000,415000,4.00E+05,399000,450000,450000,460000,475000,465100,475000,478000,458900,491800,499000,499000,495000,499000,509500,499250,510000,5.00E+05,5.00E+05,510000,510000,510000,520000,520000,510000,525000,538500,549000,550000,549000,542000,550000,565000,569000,580000,579000,585000,588000,590000,590000,535000,590000,599000,599000,620000,625000,625000,625000,622000,625000,625000,625000,614450,620000,636000,638500,645000
Westchester,NY,New York,36,119,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,425000,447000,460000,479000,490000,495000,469000,430000,425000,449000,425000,408500,399900,414900,450000,490000,499900,499000,499000,488944,475000,474900,455000,439000,439000,459000,469000,525000,529000,529000,515000,499000,499000,499000,498400,475000,465000,484950,515000,539900,549000,549000,539000,515000,515000,499900,499000,479999.5,485000,525000,549000,575000,599000,599073
Milwaukee,WI,Milwaukee,55,79,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,107000,97200,99900,104900,112900,115000,119900,119900,115900,114900,110000,108900,104500,1.00E+05,107900,112500,117900,124500,124000,123000,119900,119900,119900,118500,115000,110000,115000,119900,124900,125900,128450,128900,126900,127500,124900,122000,119900,115000,119900,122900,124900,128000,129900
Fresno,CA,Fresno,6,19,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,229950,229900,235950,239000,239900,240000,245900,249000,249700,249500,240425,235000,235000,239900,247500,249900,250000,259000,262250,265000,262490,259000,251500,250000,250000,249500,249950,250000,250000,259900,259900,265000,264000,264000,260000,257000,258950,250000,255000,259950,270000,279475,279900
Shelby,TN,Memphis,47,157,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,135700,135900,125000,129900,139900,137000,142900,145000,142500,136900,130000,118000,118000,119900,125000,124500,129500,138000,144100,145000,136900,129000,129900,125950,120000,119900,118900,120000,131200,139900,145000,155000,149900,144900,144250,135000,129900,120000,124900,130000,144900,150000,155000
Fulton,GA,Atlanta,13,121,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224900,210000,201328,217081,238700,254900,255900,265000,263000,255000,247900,240000,232046,225000,232850,240000,245450,251130,259990,269900,259500,262500,262500,269900,261956.5,258394,259000,265000,280000,299900,314900,3.00E+05,307000,299900,299500,303900,3.00E+05,295175,290000,3.00E+05,335000,357495,359900,365000
Mecklenburg,NC,Charlotte,37,119,49,164500,169000,169900,170000,169900,169900,169900,169900,175000,155500,144900,139900,139900,139900,139900,143240,147900,149900,149900,149900,139990,142900,139000,139813,149900,155000,159000,154900,154900,155700,155000,155900,153900,155000,179900,180000,185000,198000,204900,209900,209994,210000,209000,207795,207645,205000,2.00E+05,199995,192445,199000,209999.5,215150,219539,219900,217495,215000,214900,215000,210000,210000,215000,224900,225000,235000,239900,244000,245500,245000,239900,248185,245000,241665,250000,262700,274900,276990,280000,279900,283000,275000,275000,275000,279000,280000,279900,280000,289900,3.00E+05,304500,304994.5
Erie,NY,Buffalo,36,29,50,132900,135000,139900,139900,142700,139999.5,139900,139500,139900,135900,139000,138500,139794.5,139900,139900,139900,144900,149000,149000,145000,144900,144850,143000,140950,139900,139900,140000,149900,149900,144900,139900,142500,139900,139000,144200,139900,139900,139900,139900,149000,146900,149000,144900,142949.5,144900,139900,139000,135000,134900,138900,139900,144250,145000,149900,149900,149000,147500,144900,143200,139900,144900,145000,147700,149900,149900,154900,150000,149900,151000,149900,149900,145000,144900,144500,144900,149900,157500,159900,154777,149900,149900,149000,149900,149500,149700,149900,154000,159900,160000,167000
Du Page,IL,Chicago,17,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269000,269500,279175,289000,289000,299000,299900,297990,295000,291500,290000,289900,285000,285700,293053,299900,299000,299900,299990,299994.5,299900,299900,299900,299900,299000,299000,310000,319500,324900,325000,329900,329900,325000,325000,329000,329900,330000,329994.5,339000,339900,343750,344030,340000
Fairfield,CT,Stamford,9,1,52,,,479900,484900,499000,498850,489000,479000,489500,489900,489000,459900,469900,459000,451500,466700,475000,479000,469000,449900,449000,449900,449900,449000,442000,450000,469000,479900,489900,489900,474800,449900,475000,475000,479000,470000,475000,499900,5.00E+05,519900,529500,529900,529000,499500,519000,519000,499500,499000,494000,510000,535000,549000,549000,540000,520497.5,499994.5,499000,499500,489900,479000,479900,5.00E+05,529500,527000,529900,531000,525000,516745,520000,519900,510000,499900,499999,529900,545000,552900,550000,565000,559900,542995,549000,548900,549000,519000,509900,549995,569250,579900,579900,579900
Pinellas,FL,Tampa,12,103,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,160000,168000,169900,169900,169900,169900,175000,179000,179000,179000,174000,169000,175000,185500,184500,179900,184900,185100,189900,199900,199925,199900,204900,209000,209900,210000,219900,224900,225000,225000,229000,225000,230000,235000,239000,239000,248900,249900,254900,263000,268769.5,269000
Bergen,NJ,New York,34,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424944,430000,448950,449000,459000,474900,479000,475000,459000,450000,449900,449900,439900,429999,439000,449900,450000,469000,464000,465000,465000,469000,459000,454000,449000,449000,450000,465000,475000,479900,485000,483500,479000,475444,480000,484500,479000,469000,471000,485000,499000,499998.5,5.00E+05,509900,499900,499000,499000,499000,495000,490000,499000,519000,534900,549000,549000
Marion,IN,Indianapolis,18,97,55,,,,,,,,,,,,,,,,,,,,,,,107900,104900,102500,101900,104900,107900,109500,109900,109500,107900,106900,105000,107700,105000,104900,108500,111900,115000,118250,119900,119500,117500,118000,117500,115500,114900,112900,115000,119900,123800,124900,125500,125000,124900,123925,120000,119900,115000,114900,116650,119900,122500,125000,125000,124900,120000,120000,119900,118000,114900,109900,109900,114900,119900,122525,124900,123900,123000,121000,123900,120950,119900,119900,120000,127500,134900,139900,145000
Wake,NC,Raleigh,37,183,56,224945,225000,224900,224900,225000,224900,219900,223000,225000,219500,219000,218000,211900,209000,199935,2.00E+05,206000,210000,214800,210000,202990,205000,199211.5,194900,216900,217746,219900,217000,215000,214900,210000,210000,210000,214900,229000,229000,229900,234900,239900,244999.5,249900,254900,254900,254900,252498,259187,250000,252150,254900,259900,261995,260965,265900,265000,265000,269000,269900,269900,266900,264700,264900,266945,274700,280990,294990,295000,293475,298000,294900,295000,295000,290000,298990,299000,3.00E+05,305000,309900,305000,308990,311900,312700,315000,317247.5,318990,317000,325000,329900,339900,342945,339550
Hartford,CT,Hartford,9,3,57,,,224000,224900,224900,224650,222361,224000,224900,224900,219900,217900,214900,215000,215000,219900,219900,219900,217900,209900,205000,199900,199900,199900,199900,209900,211000,217287,219900,219900,219900,214900,217000,215000,215000,209900,209900,210000,217900,224900,224900,224900,224000,219900,219000,214900,209900,209900,204900,209900,214000,224900,229000,229900,229000,224900,224900,219900,216900,215000,214900,219500,220000,228500,229900,231486,231250,229000,229900,226900,224500,219900,217700,219900,224900,229900,234900,234900,229900,229000,225000,224900,224900,219900,218000,219900,224900,229900,237950,235900
Duval,FL,Jacksonville,12,31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,148000,145000,149900,154250,156990,159990,164900,165387.5,167900,165000,164000,164900,150661.5,154900,159900,162900,165000,169650,169900,169900,170000,175000,169000,169900,169900,169900,169000,170803.5,180000,183000,187900,184499,179900,179000,178650,175000,174477,175000,179900,185000,194900,199900,199900
